	world	description	category	animating	footprintx	footprintz	height	filename	seqname	seqnameshad	animtrans	shadtrans	hitdensity	metal	damage	indestructible	seqnamereclamate	energy	seqnameburn	seqnameburnshad	featureburnt	burnmin	burnmax	sparktime	spreadchance	burnweapon	seqnamedie	featuredead	flamable	reclaimable	featurereclamamate	reproduce	reproducearea	blocking	geothermal	object	autoreclaimable	featurereclamate	nodisplayinfo	permanent
Corpses\Armmmkr_dead.armmmkr_dead	All Worlds	Wreckage	core_corpses		4	4	20						100	46	320		tree1reclamate											armmmkr_heap		1				1		armmmkr_dead		smudge01		
Corpses\Armmmkr_dead.armmmkr_heap	All Worlds	Wreckage	heaps		4	4	4						100	23	160		tree1reclamate													1				0		4x4c		smudge01		
Corpses\armsjam_dead.armsjam_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	104.8	408		tree1reclamate													1				1		armsjam_dead		smudge01		
Corpses\ARMsnipe_dead.armsnipe_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	748	400		tree1reclamate											armsnipe_heap		1				1		armsnipe_dead		smudge01		
Corpses\ARMsnipe_dead.armsnipe_heap	All Worlds	Wreckage	heaps		2	2	4						100	374	200		tree1reclamate													1				0		2x2d		smudge01		
Corpses\Armwar_dead.armwar_dead	All Worlds	Wreckage	core_corpses		2	2	20						100	157	680		tree1reclamate											armwar_heap		1				1		armwar_dead		smudge01		
Corpses\Armwar_dead.armwar_heap	All Worlds	Wreckage	heaps		2	2	4						100	79	340		tree1reclamate													1				0		2x2a		smudge01		
Corpses\ARMYORK_dead.armyork_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	664	256		tree1reclamate											armyork_heap		1				1		armyork_dead		smudge01		
Corpses\ARMYORK_dead.armyork_heap	All Worlds	Wreckage	heaps		2	2	4						100	332	128		tree1reclamate													1				0		2x2a		smudge01		
Corpses\arm_corpses.armaap_dead	All Worlds	Wreckage	arm_corpses		7	6	20						100	1768	1680		tree1reclamate											armaap_heap		1				1		armaap_dead		smudge01		
Corpses\arm_corpses.armaca_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	176	288		tree1reclamate											armaca_heap		1				1		armaca_dead		smudge01		
Corpses\arm_corpses.armack_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	240	832		tree1reclamate											armack_heap		1				1		armack_dead		smudge01		
Corpses\arm_corpses.armacv_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	385	964		tree1reclamate											armacv_heap		1				1		armacv_dead		smudge01		
Corpses\arm_corpses.armalab_dead	All Worlds	Wreckage	arm_corpses		5	6	20						100	1606	2404		tree1reclamate											armalab_heap		1				1		armalab_dead		smudge01		
Corpses\arm_corpses.armamd_dead	All Worlds	Wreckage	arm_corpses		5	6	20						100	991	624		tree1reclamate											armamd_heap		1				1		armamd_dead		smudge01		
Corpses\arm_corpses.armanni_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	3188	1128		tree1reclamate											armanni_heap		1				1		armanni_dead		smudge01		
Corpses\arm_corpses.armap_dead	All Worlds	Wreckage	arm_corpses		7	6	40						100	680	1480		tree1reclamate											armap_heap		1				1		armap_dead		smudge01		
Corpses\arm_corpses.armarad_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	36	44		tree1reclamate											armarad_heap		1				1		armarad_dead		smudge01		
Corpses\arm_corpses.armaser_dead	All Worlds	Wreckage	arm_corpses		1	1	40						100	48	144		tree1reclamate											armaser_heap		1				1		armaser_dead		smudge01		
Corpses\arm_corpses.armasp_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	340	544		tree1reclamate											armasp_heap		1				1		armasp_dead		smudge01		
Corpses\arm_corpses.armasy_dead	All Worlds	Wreckage	arm_corpses		7	7	4						100	2019	24000		tree1reclamate													1				0		armasy_dead		smudge01		
Corpses\arm_corpses.armatlas_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	95	120		tree1reclamate											armatlas_heap		1				1		armatlas_dead		smudge01		
Corpses\arm_corpses.armavp_dead	All Worlds	Wreckage	arm_corpses		6	6	20						100	1587	1948		tree1reclamate											armavp_heap		1				1		armavp_dead		smudge01		
Corpses\arm_corpses.armbats_dead	All Worlds	Wreckage	arm_corpses		6	6	4						100	3523	24000		tree1reclamate													1				0		armbats_dead		smudge01		
Corpses\arm_corpses.armbrawl_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	287	960		tree1reclamate											armbrawl_heap		1				1		armbrawl_dead		smudge01		
Corpses\arm_corpses.armbrtha_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	4147	1440		tree1reclamate											armbrtha_heap		1				1		armbrtha_dead		smudge01		
Corpses\arm_corpses.armbull_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	374	1682		tree1reclamate											armbull_heap		1				1		armbull_dead		smudge01		
Corpses\arm_corpses.armca_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	84	224		tree1reclamate											armca_heap		1				1		armca_dead		smudge01		
Corpses\arm_corpses.armcarry_dead	All Worlds	Wreckage	arm_corpses		6	6	4						100	1098	24000		tree1reclamate													1				0		armcarry_dead		smudge01		
Corpses\arm_corpses.armck_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	96	560		tree1reclamate											armck_heap		1				1		armck_dead		smudge01		
Corpses\arm_corpses.armcroc_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	238	984		tree1reclamate											armcroc_heap		1				1		armcroc_dead		smudge01		
Corpses\arm_corpses.armcrus_dead	All Worlds	Wreckage	arm_corpses		5	5	4						100	1375	24000		tree1reclamate													1				0		armcrus_dead		smudge01		
Corpses\arm_corpses.armcs_dead	All Worlds	Wreckage	arm_corpses		5	5	4						100	204	24000		tree1reclamate													1				0		armcs_dead		smudge01		
Corpses\arm_corpses.armcv_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	148	696		tree1reclamate											armcv_heap		1				1		armcv_dead		smudge01		
Corpses\arm_corpses.armestor_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	192	800		tree1reclamate											armestor_heap		1				1		armestor_dead		smudge01		
Corpses\arm_corpses.armfast_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	121	440		tree1reclamate											armfast_heap		1				1		armfast_dead		smudge01		
Corpses\arm_corpses.armfav_dead	All Worlds	Wreckage	arm_corpses		2	2	4						100	30	63		tree1reclamate											armfav_heap		1				0		armfav_dead		smudge01		
Corpses\arm_corpses.armfido_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	318	800		tree1reclamate											armfido_heap		1				1		armfido_dead		smudge01		
Corpses\arm_corpses.armfig_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	126	160		tree1reclamate											armfig_heap		1				1		armfig_dead		smudge01		
Corpses\arm_corpses.armflash_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	85	500		tree1reclamate											armflash_heap		1				1		armflash_dead		smudge01		
Corpses\arm_corpses.armfus_dead	All Worlds	Wreckage	arm_corpses		5	4	40						100	4104	2480		tree1reclamate											armfus_heap		1				1		armfus_dead		smudge01		
Corpses\arm_corpses.armgate_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	171172	2301		tree1reclamate											armgate_heap		1				1		armgate_dead		smudge01		
Corpses\arm_corpses.armgeo_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	416	704		tree1reclamate											armgeo_heap		1				1		armgeo_dead		smudge01		
Corpses\arm_corpses.armguard_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	1557	2302		tree1reclamate											armguard_heap		1				1		armguard_dead		smudge01		
Corpses\arm_corpses.armham_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	121	640		tree1reclamate											armham_heap		1				1		armham_dead		smudge01		
Corpses\arm_corpses.armhawk_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	174	400		tree1reclamate											armhawk_heap		1				1		armhawk_dead		smudge01		
Corpses\arm_corpses.armhlt_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	467	984		tree1reclamate											armhlt_heap		1				1		armhlt_dead		smudge01		
Corpses\arm_corpses.armjam_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	78	368		tree1reclamate											armjam_heap		1				1		armjam_dead		smudge01		
Corpses\arm_corpses.armjeth_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	111	484		tree1reclamate											armjeth_heap		1				1		armjeth_dead		smudge01		
Corpses\arm_corpses.armlab_dead	All Worlds	Wreckage	arm_corpses		5	6	40						100	564	2152		tree1reclamate											armlab_heap		1				1		armlab_dead		smudge01		
Corpses\arm_corpses.armlance_dead	All Worlds	Wreckage	arm_corpses		5	6	40						100	126	160		tree1reclamate											armlance_heap		1				1		armlance_dead		smudge01		
Corpses\arm_corpses.armllt_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	210	600		tree1reclamate											armllt_heap		1				1		armllt_dead		smudge01		
Corpses\arm_corpses.armmakr_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	0	115		tree1reclamate											armmakr_heap		1				1		armmakr_dead		smudge01		
Corpses\arm_corpses.armmart_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	211	420		tree1reclamate											armmart_heap		1				1		armmart_dead		smudge01		
Corpses\arm_corpses.armmerl_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	370	432		tree1reclamate											armmerl_heap		1				1		armmerl_dead		smudge01		
Corpses\arm_corpses.armmex_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	40	1700		tree1reclamate											armmex_heap		1				1		armmex_dead		smudge01		
Corpses\arm_corpses.armmoho_dead	All Worlds	Wreckage	arm_corpses		5	5	40						100	1206	1258		tree1reclamate											armmoho_heap		1				1		armmoho_dead		smudge01		
Corpses\arm_corpses.armmship_dead	All Worlds	Wreckage	arm_corpses		5	5	4						100	1878	24000		tree1reclamate													1				0		armmship_dead		smudge01		
Corpses\arm_corpses.armmstor_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	244	1063		tree1reclamate											armmstor_heap		1				1		armmstor_dead		smudge01		
Corpses\arm_corpses.armpeep_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	38	64		tree1reclamate											armpeep_heap		1				1		armpeep_dead		smudge01		
Corpses\arm_corpses.armpnix_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	161	240		tree1reclamate											armpnix_heap		1				1		armpnix_dead		smudge01		
Corpses\arm_corpses.armpt_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	80	24000		tree1reclamate													1				0		armpt_dead		smudge01		
Corpses\arm_corpses.armpw_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	42	200		tree1reclamate											armpw_heap		1				1		armpw_dead		smudge01		
Corpses\arm_corpses.armrad_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	15	41		tree1reclamate											armrad_heap		1				1		armrad_dead		smudge01		
Corpses\arm_corpses.armrl_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	63	236		tree1reclamate											armrl_heap		1				1		armrl_dead		smudge01		
Corpses\arm_corpses.armrock_dead	All Worlds	Wreckage	arm_corpses		2	2	40						100	103	576		tree1reclamate											armrock_heap		1				1		armrock_dead		smudge01		
Corpses\arm_corpses.armroy_dead	All Worlds	Wreckage	arm_corpses		5	5	4						100	718	24000		tree1reclamate													1				0		armroy_dead		smudge01		
Corpses\arm_corpses.armsam_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	114	739		tree1reclamate											armsam_heap		1				1		armsam_dead		smudge01		
Corpses\arm_corpses.armseer_dead	All Worlds	Wreckage	arm_corpses		3	3	20						100	69	384		tree1reclamate											armseer_heap		1				1		armseer_dead		smudge01		
Corpses\arm_corpses.armsilo_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	2734	1840		tree1reclamate											armsilo_heap		1				1		armsilo_dead		smudge01		
Corpses\arm_corpses.armsolar_dead	All Worlds	Wreckage	arm_corpses		5	5	40						100	116	261		tree1reclamate											armsolar_heap		1				1		armsolar_dead		smudge01		
Corpses\arm_corpses.armsonar_dead	All Worlds	Wreckage	arm_corpses		2	2	4						100	16	24000		tree1reclamate													1				0		armsonar_dead		smudge01		
Corpses\arm_corpses.armspid_dead	All Worlds	Wreckage	arm_corpses		3	3	40						100	184	360		tree1reclamate											armspid_heap		1				1		armspid_dead		smudge01		
Corpses\arm_corpses.armstump_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	132	794		tree1reclamate											armstump_heap		1				1		armstump_dead		smudge01		
Corpses\arm_corpses.armsub_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	921	24000		tree1reclamate													1				0		armsub_dead		smudge01		
Corpses\arm_corpses.armsubk_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	1158	24000		tree1reclamate													1				0		armsubk_dead		smudge01		
Corpses\arm_corpses.armsy_dead	All Worlds	Wreckage	arm_corpses		7	7	4						100	492	24000		tree1reclamate													1				0		armsy_dead		smudge01		
Corpses\arm_corpses.armtide_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	66	24000		tree1reclamate													1				0		armtide_dead		smudge01		
Corpses\arm_corpses.armthund_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	161	240		tree1reclamate											armthund_heap		1				0		armthund_dead		smudge01		
Corpses\arm_corpses.armtl_dead	All Worlds	Wreckage	arm_corpses		3	3	4						100	723	24000		tree1reclamate													1				0		armtl_dead		smudge01		
Corpses\arm_corpses.armtship_dead	All Worlds	Wreckage	arm_corpses		5	5	4						100	735	24000		tree1reclamate													1				0		armtship_dead		smudge01		
Corpses\arm_corpses.armvader_dead	All Worlds	Wreckage	arm_corpses		1	1	20						100	49	148		tree1reclamate											armvader_heap		1				1		armvader_dead		smudge01		
Corpses\arm_corpses.armvp_dead	All Worlds	Wreckage	arm_corpses		6	6	40						100	496	2064		tree1reclamate											armvp_heap		1				1		armvp_dead		smudge01		
Corpses\arm_corpses.armwin_dead	All Worlds	Wreckage	arm_corpses		4	4	40						100	42	141		tree1reclamate											armwin_heap		1				1		armwin_dead		smudge01		
Corpses\arm_corpses.armzeus_dead	All Worlds	Wreckage	arm_corpses		2	2	20						100	214	700		tree1reclamate											armzeus_heap		1				1		armzeus_dead		smudge01		
Corpses\arm_heaps.armaap_heap	All Worlds	Wreckage	heaps		6	6	4						100	884	1680		tree1reclamate													1				0		6x6a		smudge01		
Corpses\arm_heaps.armaca_heap	All Worlds	Wreckage	heaps		2	2	4						100	88	288		tree1reclamate													1				0		2x2a		smudge01		
Corpses\arm_heaps.armack_heap	All Worlds	Wreckage	heaps		2	2	4						100	120	832		tree1reclamate													1				0		2x2b		smudge01		
Corpses\arm_heaps.armacv_heap	All Worlds	Wreckage	heaps		3	3	4						100	192	964		tree1reclamate													1				0		3x3a		smudge01		
Corpses\arm_heaps.armalab_heap	All Worlds	Wreckage	heaps		5	5	4						100	803	2404		tree1reclamate													1				0		5x5a		smudge01		
Corpses\arm_heaps.armamd_heap	All Worlds	Wreckage	heaps		5	5	4						100	496	624		tree1reclamate													1				0		5x5b		smudge01		
Corpses\arm_heaps.armanni_heap	All Worlds	Wreckage	heaps		3	3	4						100	1594	1128		tree1reclamate													1				0		3x3b		smudge01		
Corpses\arm_heaps.armap_heap	All Worlds	Wreckage	heaps		6	6	4						100	340	1480		tree1reclamate													1				0		6x6b		smudge01		
Corpses\arm_heaps.armarad_heap	All Worlds	Wreckage	heaps		2	2	4						100	18	44		tree1reclamate													1				0		2x2c		smudge01		
Corpses\arm_heaps.armaser_heap	All Worlds	Wreckage	heaps		1	1	4						100	24	144		tree1reclamate													1				0		1x1a		smudge01		
Corpses\arm_heaps.armasp_heap	All Worlds	Wreckage	heaps		1	1	4						100	170	544		tree1reclamate													1				0		4x4a		smudge01		
Corpses\arm_heaps.armatlas_heap	All Worlds	Wreckage	heaps		3	3	4						100	48	120		tree1reclamate													1				0		3x3c		smudge01		
Corpses\arm_heaps.armavp_heap	All Worlds	Wreckage	heaps		6	6	4						100	794	1948		tree1reclamate													1				0		6x6d		smudge01		
Corpses\arm_heaps.armbrawl_heap	All Worlds	Wreckage	heaps		3	3	4						100	144	960		tree1reclamate													1				0		3x3d		smudge01		
Corpses\arm_heaps.armbrtha_heap	All Worlds	Wreckage	heaps		3	3	4						100	2074	1440		tree1reclamate													1				0		3x3e		smudge01		
Corpses\arm_heaps.armbull_heap	All Worlds	Wreckage	heaps		3	3	4						100	187	1682		tree1reclamate													1				0		3x3f		smudge01		
Corpses\arm_heaps.armca_heap	All Worlds	Wreckage	heaps		2	2	4						100	42	224		tree1reclamate													1				0		2x2c		smudge01		
Corpses\arm_heaps.armck_heap	All Worlds	Wreckage	heaps		2	2	4						100	48	560		tree1reclamate													1				0		2x2d		smudge01		
Corpses\arm_heaps.armcroc_heap	All Worlds	Wreckage	heaps		3	3	4						100	119	984		tree1reclamate													1				0		3x3a		smudge01		
Corpses\arm_heaps.armcv_heap	All Worlds	Wreckage	heaps		3	3	4						100	74	696		tree1reclamate													1				0		3x3c		smudge01		
Corpses\arm_heaps.armestor_heap	All Worlds	Wreckage	heaps		4	4	4						100	96	800		tree1reclamate													1				0		4x4c		smudge01		
Corpses\arm_heaps.armfast_heap	All Worlds	Wreckage	heaps		2	2	4						100	61	440		tree1reclamate													1				0		2x2e		smudge01		
Corpses\arm_heaps.armfav_heap	All Worlds	Wreckage	heaps		2	2	4						100	15	63		tree1reclamate													1				0		2x2f		smudge01		
Corpses\arm_heaps.armfido_heap	All Worlds	Wreckage	heaps		2	2	4						100	159	800		tree1reclamate													1				0		2x2a		smudge01		
Corpses\arm_heaps.armfig_heap	All Worlds	Wreckage	heaps		2	2	4						100	63	160		tree1reclamate													1				0		2x2b		smudge01		
Corpses\arm_heaps.armflash_heap	All Worlds	Wreckage	heaps		2	2	4						100	43	500		tree1reclamate													1				0		2x2c		smudge01		
Corpses\arm_heaps.armfus_heap	All Worlds	Wreckage	heaps		4	4	4						100	2052	2480		tree1reclamate													1				0		4x4a		smudge01		
Corpses\arm_heaps.armgate_heap	All Worlds	Wreckage	heaps		2	2	4						100	85586	2301		tree1reclamate													1				0		2x2d		smudge01		
Corpses\arm_heaps.armgeo_heap	All Worlds	Wreckage	heaps		4	4	4						100	208	704		tree1reclamate													1				0		4x4b		smudge01		
Corpses\arm_heaps.armguard_heap	All Worlds	Wreckage	heaps		3	3	4						100	778	2302		tree1reclamate													1				0		4x4d		smudge01		
Corpses\arm_heaps.armham_heap	All Worlds	Wreckage	heaps		2	2	4						100	60	640		tree1reclamate													1				0		2x2e		smudge01		
Corpses\arm_heaps.armhawk_heap	All Worlds	Wreckage	heaps		2	2	4						100	87	400		tree1reclamate													1				0		2x2f		smudge01		
Corpses\arm_heaps.armhlt_heap	All Worlds	Wreckage	heaps		2	2	4						100	234	984		tree1reclamate													1				0		2x2a		smudge01		
Corpses\arm_heaps.armjam_heap	All Worlds	Wreckage	heaps		3	3	4						100	39	368		tree1reclamate													1				0		3x3b		smudge01		
Corpses\arm_heaps.armjeth_heap	All Worlds	Wreckage	heaps		2	2	4						100	56	484		tree1reclamate													1				0		2x2c		smudge01		
Corpses\arm_heaps.armlab_heap	All Worlds	Wreckage	heaps		5	5	4						100	282	2152		tree1reclamate													1				0		5x5b		smudge01		
Corpses\arm_heaps.armlance_heap	All Worlds	Wreckage	heaps		5	5	4						100	63	160		tree1reclamate													1				0		5x5d		smudge01		
Corpses\arm_heaps.armllt_heap	All Worlds	Wreckage	heaps		2	2	4						100	105	600		tree1reclamate													1				0		2x2b		smudge01		
Corpses\arm_heaps.armmakr_heap	All Worlds	Wreckage	heaps		3	3	4						100	0	115		tree1reclamate													1				0		3x3d		smudge01		
