	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Canfly	cruisealt	Scale	BankScale	Builddistance	CanReclamate	EnergyMake	MetalMake	DefaultMissionType	maneuverleashlength	MovementClass	Upright	standingmoveorder	buildangle	canattack	Weapon1	downloadable	wpri_badTargetCategory	BadTargetCategory	digger	DamageModifier	antiweapons	ActivateWhenBuilt	onoffable	RadarDistanceJam	sortbias	IsAirBase	MinWaterDepth	WaterLine	NoShadow	TransMaxUnits	canload	transportsize	transportcapacity	ai_limit	altfromsealevel	NoChaseCategory	Weapon2	wsec_badTargetCategory	Floater	HoverAttack	CloakCost	SonarDistance	Weapon3	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	norestrict	Commander	ShowPlayerName	mincloakdistance	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	maxwaterdepth	ai_weight	noshadow	Waterline	Buildangle	MakesMetal	teleporter	Stealth	Spanishdescription	Italiandescription	ExtractsMetal	attackrunlength	TidalGenerator	kamikaze	kamikazedistance	Downloadable	WindGenerator	MobileStandOrders	weapon1	BuildAngle	OVRadjust	waterline	upright	ovradjust	cantbetransported	transportmaxunits	PitchScale	MoveRate2
ARMASER.UNITINFO	ARMASER	1	ARM	ARMASER	ARM-CB	Eraser	Radar Jammer	1	1	1326	73	305	112	32	10	4937	0	1	0	1	1	0	200	0	ARM_JAM	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armaser_dead	Eraser	Radar-Störer	10	Dégradator	Brouilleur de radar			1	1	1	1	1	Eraser	Distorsionador de Radar	Eraser	Crea interferenze radar	1	1	1	1	0.1	950	1	1							10		Standby	640	TANKSH2												1	1	500																																																														
ARMASP.UNITINFO	ARMASP	1	ARM	ARMASP	ARM-SP1	Air Repair Pad	Automatically repairs aircraft	4	4	8510	425	680	1	10	0	21953	200	0	1	1	1	0	175	0	AIRPLANT	100	0	BIG_UNITEX	BIG_UNIT	ARM REPAIRPAD LEVEL3 NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooo oooo oooo oooo	armasp_dead	Luftfahrt-Reparaturset	Repariert Lufteinheiten automatisch	154	Piste de réparations	Répare automatiquement les avions								Plat. Aérea Reparaciones	Repara aviones automáticamente	Piattaforma Aerei	Ripara automaticamente i velivoli	1												6		10							1024									1	1		0	1																																																												
ARMASY.UNITINFO	ARMASY	1	ARM	ARMASY	ARM-SCF	Adv. Shipyard	Produces Ships	8	8	2402	2524	2820			0	13310	200	0	1	1	1	0	230	0	SHIPYARD	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL1 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wCCCCCCw CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC wCCCCCCw	armasy_dead	Verbesserte Werft	Tech Level 2	11	Chantier naval évolué	Niveau Tech 2	1	2	1	1	1	1	1	Astillero Avanzado	Produce barcos	Cantiere Navale Spec.	Produce navi	1															1																				30	1	1																																																									
ARMATLAS.UNITINFO	ARMATLAS	1	ARM	ARMATLAS	AFD-T3	Atlas	Air Transport	3	3	2479	107	150	0	10	0.6	5500	0	1	0	1	1	0	245	0	ARM_VTOL	0	0	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V TPORT LEVEL1 NOWEAPON  NOTSUB 	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Atlas	Transportflugzeug	12	Atlas	Avion de transport	0		0	1	1	1	1	Atlas	Transporte aéreo	Atlas	Traspoto aereo	1	1	7	1	0.04	128	1	1	1	90	0.8	1			0.6		VTOL_standby	1280																					1	1	3	5																																																					
ARMAVP.UNITINFO	ARMAVP	1	ARM	ARMAVP	ARM-VCF2	Adv. Vehicle Plant	Produces Vehicles	6	6	3200	1984	2435	0	10	0	14950	200	0	1	1	1	0	218	0	TANKPLANT	200	200	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT LEVEL2 NOWEAPON NOTAIR NOTSUB CTRL_F	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	occcco occcco occcco occcco occcco occcco	armavp_dead	Verb. Fahrzeugfabrik	Tech Level 2	13	Usine de véhicules évoluée	Niveau Tech 2	1	2	1	1	1	1	1	Planta Av. Constr. Vehículos	Produce vehículos	Fabbrica Veicoli Spec.	Produce veicoli	1																					1024												0																																																													
ARMAWAC.UNITINFO	ARMAWAC	1.2	ARM	ARMAWAC	AFD-AR	Eagle	Radar Plane	3	3	8062	165	110	0	10	23	12819	0	1	0	1	1	0	350	1650	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 NOWEAPON NOTSUB CTRL_R	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Eagle	Radarflugzeug	239	Eagle	Avion de radar			1	1	1	1	1	Eagle	Radar aéreo	Eagle	Radar aereo		1	9.2	4	0.095	356	1	1	1	160	1	1			23		VTOL_standby	1280							1																		limit ARMAwac 5	1																																																			
ARMBATS.UNITINFO	ARMBATS	1	ARM	ARMBATS	ASD-SB	Millenium	Battleship	6	6	20731	4404	5720			48	42730	0	1	0	1	1	0	350	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armbats_dead	Millenium	Schlachtschiff	14	Millénium	Cuirassé	1	2	1	1	1	1	1	Millenium	Acorazado	Millennium	Nave da battaglia	1	1	2	0.018	0.005	64	1	1			0.6				50		Standby	640	BOATD6			16384	1	ARM_BATS		VTOL	VTOL									30									VTOL	ARM_BATS	VTOL	1																																															
ARMBRAWL.UNITINFO	ARMBRAWL	1	ARM	ARMBRAWL	AFD-J17	Brawler	Gunship	3	3	6249	314	920	0	10	0.8	14385	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Brawler	Kampfhubschrauber	15	Frelon	Hélicoptère de combat	1	2	1	1	1	1	1	Brawler	Helicóptero de combate	Brawler	Elicottero	1	1	6.6	4	0.16	800	1	1	1	60	1	1			0.8		VTOL_standby	1280					1	VTOL_EMG		VTOL	VTOL																						1																																														
ARMBRTHA.UNITINFO	ARMBRTHA	1	ARM	ARMBRTHA	ARM-LRC	Big Bertha	Long Range Plasma Cannon	3	3	64680	4184	1800	0	10	0	85185	0	0	0	1	1	1	210	0	ARM_BRTHA	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armbrtha_dead	Big Bertha	Langstrecken-Plasmakanone	16	Grosse Bertha	Canon à plasma de longue portée	1	0					1	Big Bertha	Cañón de plasma de largo alcance	Bertha	Cannone al plasma a lunga gittata	1							1							0		GUARD_NOMOVE					4096	1	ARM_BERTHACANNON		VTOL																																																																					
ARMBULL.UNITINFO	ARMBULL	1	ARM	ARMBULL	ARM-HA8	Bulldog	Heavy Assault Tank	3	3	2994	467	2102	100	12	0.8	8675	0	1	0	1	1	0	260	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armbull_dead	Bulldog	Schwerer Gefechtspanzer	17	Pittbull	Char d'assaut lourd	1	2	1	1	1	1	1	Bulldog	Tanque de asalto pesado 	Bulldog	Carro armato pesante da assalto	1	1	1.1	0.007629395	0.01	300	1	1							0.8		Standby	640	TANKBH3				1	ARM_BULL		VTOL	VTOL																		VTOL																																																		
ARMCA.UNITINFO	ARMCA	1	ARM	ARMCA	ARM-CA1	Construction Aircraft	Tech Level 1	2	2	4320	105	280	0	10	0.1	8844	50	1	1	1	1	0	280	0	ARM_CVTOL	50	50	SMALL_UNITEX	SMALL_UNIT	ARM VTOL CTRL_V LEVEL1 CONSTR NOWEAPON  NOTSUB CTRL_B	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Konstruktions-Flugzeug	Tech Level 1	18	Avion de construction 	Niveau Tech 1			1	1	1	1	1	Aeronave de Constr. 	Nivel Tecn. 1	Aereo Costruttore	Tecnologia Livello 1	1	1	6.9	1.5	0.06	90	1	1	1	70	0.8	1.5	40	1	11	0.2	VTOL_standby	1280																																																																													
ARMCARRY.UNITINFO	ARMCARRY	1	ARM	ARMCARRY	ASD-SC	Colossus	Light Carrier	6	6	11257	1372	3390			40	25394	200	1	1	1	1	0	350	1800	ARM_SHIP	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM SHIP LEVEL1 CARRY NOWEAPON NOTAIR NOTSUB 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcarry_dead	Colossus	Leichter Flugzeugträger	19	Colosse	Porte-avions léger			1	1	1	1	1	Colossus	Transporte ligero	Colossus	Portaerei leggera	1	1	2.3	0.02	0.01	64	1	1							370		Standby	640	BOATD6			16384									1	1			1	30												1																																															
ARMCK.UNITINFO	ARMCK	1	ARM	ARMCK	ARM-CK1	Construction KBot	Tech Level 1	2	2	2410	120	700	25	20	0.1	5597	80	1	1	1	1	0	235	0	ARM_CKBOT	50	50	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armck_dead	Konstruktions-Kbot	Tech Level 1	20	Kbot de construction  	Niveau Tech 1			1	1	1	1	1	Kbot de Constr. 	Nivel Tecn. 1	Kbot Costruttore	Tecnologia Livello 1	1	1	0.8	0.24	0.12	1020	1	1					40	1	8	0.25	Standby	640	TANKSH2	1																																																																											
ARMCKFUS.UNITINFO	ARMCKFUS	1.2	ARM	ARMCKFUS	AE-CKF	Cloakable Fusion Reactor	Produces Energy	5	4	42058	5420	2200	0	10	0	105487	0	0	0	1	1	0	210	0	ARM_FUS	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	ARM ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooooooo	armckfus_dead	Fusionreaktor-Getarnt	Liefert Energie	233	Réacteur nucléaire-Camoufle	Produit de l'énergie								Reactor de Fusión-Camuflado	Genera energía	Reattore a Fusione-Nascosto	Produce energia															1000							4096			1																									450																																													
ARMCOM.UNITINFO	ARMCOM	1	ARM	ARMCOM	ARM-WM	Commander	Commander	2	2	34125	29854	3000	35	20	0	95897	300	1	1	1	1		290	400	ARM_COM			COMMANDER_BLAST	COMMANDER_BLAST	ARM commander LEVEL10 WEAPON NOTAIR NOTSUB CTRL_C	COMMANDER	Copyright 1997 Humongous Entertainment. All rights reserved.			Commander	Commander	21	Commandeur	Commandant	1	2	1	0	1	1	1	Comandante	Comandante	Comandante	Comandante	1	1	1.2	0.3	0.15	1044	2	1					60	1	25	1	Standby	640	TANKDS2	1			1	ARMCOMLASER		VTOL	VTOL				1														VTOL					200	400	ARM_DISINTEGRATOR	1	1000	27	1	1	1	1	1	1	40																																	
ARMCROC.UNITINFO	ARMCROC	1	ARM	ARMCROC	ARM-CROC	Triton	Amphibious Tank	3	3	2300	298	1230	255	12	0.5	6112	0	1	0	1	1	0	240	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON PHIB NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armcroc_dead	Triton	Amphibienpanzer	22	Triton	Char amphibie	1	2	1	1	1	1	1	Triton	Tanque anfibio	Triton	Carro armato anfibio	1	1	1.3	0.008	0.009	350	1	1							0.5		Standby	640	TANKDH3				1	ARM_MEDIUMCANNON		VTOL	VTOL																		VTOL																																																		
ARMCRUS.UNITINFO	ARMCRUS	1	ARM	ARMCRUS	ASD-SC	Conqueror	Cruiser	5	5	8608	1719	4050			2.5	17789	0	1	0	1	1	0	210	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL2 WEAPON ANTISUB NOTAIR NOTSUB CTRL_W 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcrus_dead	Conqueror	Schwerer Kreuzer	23	Conquérant	Croiseur	1	2	1	1	1	1	1	Conqueror	Crucero	Conqueror	Incrociatore	1	1	2.5	0.05	0.02	128	1	1			0.5				2.5		Standby	640	BOATS5			16384	1	ARM_CRUS		VTOL	VTOL				1					30									VTOL	ARMDEPTHCHARGE	NOTSUB	1			425																																												
ARMCS.UNITINFO	ARMCS	1	ARM	ARMCS	ARM-CS1	Construction Ship	Tech Level 1	4	4	2130	255	1105			0.1	5121	125	1	1	1	1	0	224	0	ARM_CSHIP	50	50	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armcs_dead	Konstr.-Schiff	Tech Level 1	24	Navire de construction	Niveau Tech 1			1	1	1	1	1	Buque de Constr.	Nivel Tecn. 1	Nave Costruttrice	Tecnologia Livello 1	1	1	2.1	0.04	0.009	200	1	1					60	1	7	0.3	Standby	640	BOATS4																	15												1			0																																												
ARMCV.UNITINFO	ARMCV	1	ARM	ARMCV	ARM-CV1	Construction Vehicle	Tech Level 1	3	3	2030	185	870	18	16	0.1	4951	100	1	1	1	1	0	195	0	ARM_CVEHICLE	50	50	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 CONSTR NOWEAPON NOTAIR NOTSUB CTRL_B	CNSTR	Copyright 1997 Humongous Entertainment. All rights reserved.		armcv_dead	Konstr.-Fahrzeug	Tech Level 1	25	Véhicule de construction 	Niveau Tech 1			1	1	1	1	1	Vehículo de Constr.	Nivel Tecn. 1	Veicolo Costruttore	Tecnologia Livello 1	1	1	1.4	0.08	0.015	250	1	1					40	1	9	0.25	Standby	640	TANKSH3																																																																												
ARMDRAG.UNITINFO	ARMDRAG	1	ARM	ARMDRAG	A-102-C	Dragon's Teeth	Perimeter Defense	2	2	250	10	3500	0	32	0	520	0	0	0	1	1	0	100	0	NONE	0	0			ARM METAL LEVEL2 NOWEAPON NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	f	DragonsTeeth	Panzersperre	Palisadenanlage	26	Dent de dragon	Périmètre de défense								Dragon's Teeth	Defensa de perímetro	Denti del Drago	Difesa perimetrale	1														0							8192																																									1																																
ARMEMP.UNITINFO	ARMEMP	1.2	ARM	ARMEMP	ARM-MIDS	Stunner	EMP Missile Launcher	4	4	52134	1802	2300	0	10	0	111453	0	0	0	1	1	0	350	0	NUC	0	0	ATOMIC_BLASTSML	NUCLEAR_MISSILE	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armemp_dead	Stunner	EMP Raketenwerfer	322	Aveugleur	Lance-Missiles électromagnétiques	1	0					1	Stunner	Lanzador de Misiles EMP	Storditore	Lanciamissili EMP	1							1							0							8192	1	ARMEMP_WEAPON	1	VTOL	VTOL																																																																				
ARMESTOR.UNITINFO	ARMESTOR	1	ARM	ARMESTOR	AE-ESF	Energy Storage	Increases Energy Storage	4	4	2430	240	1000	0	10	0	12710	0	0	0	1	1	0	210	0	ARM_ESTOR	3000	0	ESTOR_BUILDINGEX	CRAWL_BLASTSML	ARM ENERGY LEVEL1 NOWEAPON  NOTAIR NOTSUB STORAGE	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	o	armestor_dead	Energiespeicher	Vergrößert Lager für Energievorräte	27	Dépôt d'énergie	Augmente le stockage d'énergie								Almacén de Energía	Incrementa capacidad de alm.energía	Deposito Energetico	Aumenta l'immagazzinamento di energia	1																					4096									1																																																																
ARMFAST.UNITINFO	ARMFAST	1	ARM	ARMFAST	ARM-KS	Zipper	Fast Attack Kbot	2	2	2221	151	550	12	17	0.4	6768	0	1	0	1	1	0	263	0	ARM_KBOT	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armfast_dead	Zipper	Schneller Angriffs-Kbot	28	Eclair	Kbot d'intervention rapide	1	2	1	1	1	1	1	Zipper	Kbot de ataque rápido	Zipper	Kbot veloce da attacco	1	1	2.53	0.25	0.14	1300	2	1							0.4		Standby	640	KBOTSF2	1			1	ARM_FAST		VTOL	VTOL																		VTOL																																																		
ARMFAV.UNITINFO	ARMFAV	1	ARM	ARMFAV	ARM-FAV1	Jeffy	Fast Attack Vehicle	2	2	564	37	79	12	18	0.2	1465	0	1	0	1	1	0	310	0	ARM_VEHICLE	0	0	SMALL_UNITEX	SMALL_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armfav_dead	Jeffy	Schnelles Angriffs-Fahrzeug	29	Rapido	Véhicule d'attaque rapide	1	2	1	1	1	1	1	Jeffy	Vehículo de ataque rápido	Jeffy	Veicolo veloce da attacco	1	1	3	0.06	0.04	499	1	1							0.2		Standby	640	TANKSH2				1	ARM_LASER		VTOL	VTOL																		VTOL																			Effyjay	Jeffysan	Astfay attackay Outingscay Ehiclevay																													
